DATETIME,mission_id,target_name,target_location,NUMBER OF AIRCRAFT BOMBING,total_area_tons,HIGH EXPLOSIVE BOMBS TONS,he_percentage,INCENDIARY BOMBS TONS,inc_percentage
1944-09-12 11:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3335_output_1944-09-12,Walther a/engine COMP FACTORY,Kiel,174,253.0,207.0,81.81818181818183,46.0,18.181818181818183
1944-11-01 15:15:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3166_output_1944-11-01,WNAC ENGINE PLANT,VIENNA,45,244.7,108.2,44.217409072333474,136.5,55.78259092766653
1944-04-11 12:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3257_output_1944-04-11,Motorbau Aero Engine,Arnswalde,162,239.7,152.0,63.41259908218607,87.7,36.58740091781394
1943-10-11 01:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3280_output_1943-10-11,E WOLF A ACTORY,,1700,234.502,10.0,4.2643559543202185,224.502,95.73564404567978
1944-03-26 18:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3263_output_1944-03-26,Engine,BASDORF,24,225.0,215.0,95.55555555555556,10.0,4.444444444444445
1944-03-27 15:30:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3263_output_1944-03-27,Engine,BASDORF,24,222.5,215.0,96.62921348314607,7.5,3.3707865168539324
1944-01-12 11:54:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3312_output_1944-01-12,A C PLANTLANT,HALBERSTADT,64,221.6,183.6,82.85198555956678,38.0,17.14801444043321
1944-05-29 10:34:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3168_output_1944-05-29,Atzgersdorf A C Comp Plt,Vienna,125,219.228,219.0,99.8959986862992,0.228,0.10400131370080463
1942-02-24 13:42:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3310_output_1942-02-24,,GOTHA,165,219.2,159.0,72.53649635036497,60.2,27.46350364963504
1944-10-17 12:26:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3167_output_1944-10-17,SAUERWERKE ENG PLANT,VIENNA,141,216.5,211.0,97.45958429561202,5.5,2.5404157043879905
1944-08-04 15:04:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3254_output_1944-08-04,A C FACTORY,ANKLAM,82,212.75,155.0,72.85546415981199,57.75,27.144535840188016
1943-10-26 06:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3256_output_1943-10-26,ARADOAC PLANT,ANKLAM,20,212.5,0.0,0.0,212.5,100.0
1945-04-08 12:14:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3309_output_1945-04-08,FURTH REP FCTY ME 262 COMP,FURTH,623,207.35,153.0,73.78828068483242,54.35,26.211719315167592
