DATETIME,mission_id,target_name,target_location,NUMBER OF AIRCRAFT BOMBING,TOTAL TONS
1944-01-11 16:45:00,BOX_7_BOOK_17_NAVAL_IMG_7857_output_1944-01-11,Halon Basin,Piraeus,20,60.0
1944-09-03 11:09:00,BOX_7_BOOK_17_NAVAL_IMG_7894_output_1944-09-03,SMEDEREVO FERRY SLIPS,,26,59.0
1945-02-07 15:07:00,BOX_7_BOOK_17_NAVAL_IMG_7926_output_1945-02-07,Harbor Installations,Pola,30,59.0
1944-09-24 13:01:00,BOX_7_BOOK_17_NAVAL_IMG_7860_output_1944-09-24,Harbor Installations,Scar Amanga,23,58.0
1943-05-29 17:07:00,BOX_7_BOOK_17_NAVAL_IMG_8046_output_1943-05-29,,,29,58.0
1944-03-25 11:11:00,BOX_7_BOOK_17_NAVAL_IMG_7927_output_1944-03-25,Harbor,Pola,28,57.0
1943-09-24 17:59:00,BOX_7_BOOK_17_NAVAL_IMG_8035_output_1943-09-24,NANTES SHIPS,NANTES,19,57.0
1945-02-08 14:40:00,BOX_7_BOOK_17_NAVAL_IMG_7926_output_1945-02-08,Harbor Installations,Pola,28,53.5
1944-07-11 12:00:00,BOX_7_BOOK_17_NAVAL_IMG_7909_output_1944-07-11,Giurgiu Ferry Terminal,Giurgiu,33,53.4
1944-04-20 13:15:00,BOX_7_BOOK_17_NAVAL_IMG_7943_output_1944-04-20,HARBOR,VENICE,19,53.4
1944-09-25 13:46:00,BOX_7_BOOK_17_NAVAL_IMG_7859_output_1944-09-25,,Salamis Harbor,24,53.0
1943-03-31 12:24:00,BOX_7_BOOK_17_NAVAL_IMG_7885_output_1943-03-31,Docks and Harbors,Rotterdam,17,51.0
1945-02-17 14:37:00,BOX_7_BOOK_17_NAVAL_IMG_7927_output_1945-02-17,Harbor,Pola,26,51.0
1945-04-09 22:20:00,BOX_7_BOOK_17_NAVAL_IMG_8113_output_1945-04-09,DOCK INSTALLATIONS,TRAVERMUNDE,20,50.0
1943-09-16 16:45:00,BOX_7_BOOK_17_NAVAL_IMG_8036_output_1943-09-16,HARBOR INSTALLATIONS,PALLICE LA,6,47.5
