DATETIME,mission_id,target_name,target_location,NUMBER OF AIRCRAFT BOMBING,TOTAL TONS
1944-04-16 11:21:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3199_output_1944-04-16,ROGOZARSKI ZIVOJIN,BELGRADE (Zeman),42,111.0
1944-08-06 12:51:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3208_output_1944-08-06,FOCKE WULF A C FAC,GDYNIA,71,111.0
1944-06-13 10:30:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3252_output_1944-06-13,BMW Aero Engine Plant,Allach,39,110.0
1944-06-30 12:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3156_output_1944-06-30,HEINKEL A C FAC,SCHWECHAT,400,108.0
1944-07-05 09:53:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3340_output_1944-07-05,MOCKAU AIRCRAFT ASSEMBLY,LEIPZIG,22,107.0
1942-04-02 15:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3160_output_1942-04-02,WALZLAGERWERKE AERO ENG,STEYR,389,106.0
1944-09-13 12:43:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3252_output_1944-09-13,BMW Aero Engine Plant,Allach,72,106.0
1944-04-14 14:40:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3171_output_1944-04-14,Werk I & II AC FACTORY,WIENER NEUSTADT,35,105.0
1944-04-16 14:34:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3171_output_1944-04-16,Werk I & II AC FACTORY,WIENER NEUSTADT,35,105.0
1944-04-13 11:53:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3196_output_1944-04-13,AC Factory,Gyor,35,105.0
1943-09-23 18:04:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3239_output_1943-09-23,De l'Ouest A C Factory,Nantes,55,104.0
1944-06-14 10:23:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3356_output_1944-06-14,Bayerische Motorenworks,Munich,35,103.0
1943-04-05 15:30:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3180_output_1943-04-05,ERLA AIRCRAFT,ANTWERP,35,102.0
1943-12-01 13:52:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3220_output_1943-12-01,F MAC ENG WORKS,TURIN,46,102.0
1944-04-20 14:47:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3156_output_1944-04-20,HEINKEL A C FAC,SCHWECHAT,34,101.1
1944-08-28 17:30:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3345_output_1944-08-28,A C FACTORY,LUBECK,83,101.1
1944-06-13 10:18:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3356_output_1944-06-13,Bayerische Motorenworks,Munich,34,101.0
1944-03-31 18:30:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3158_output_1944-03-31,Daimler Puch AC Factory,Steyr,18,100.0
