DATETIME,mission_id,target_name,target_location,NUMBER OF AIRCRAFT BOMBING,TOTAL TONS
1944-08-14 14:48:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2747_output_1944-08-14,NORMANDY,SECQUEVILLE LA COMPAGNE,109,522.0
1945-02-07 22:07:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2849_output_1945-02-07,TOWN AREA,GOCH,755,521.0
1945-04-30 16:55:00,BOX_3_BOOK_6_INDUSTRIAL__PART_4_IMG_2457_output_1945-04-30,,Wangerooge Island,462,515.0
1944-08-14 15:06:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2753_output_1944-08-14,AISY AND POTIGNY AREA,NORMANDY,44,509.0
1944-07-05 20:00:00,BOX_2_BOOK_6_INDUSTRIAL__PART_2_IMG_1655_output_1944-07-05,Unidentified,Wizernes,131,499.0
1944-08-07 23:33:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2748_output_1944-08-07,Mere de Magne,Normandy,15,496.0
1944-06-14 02:45:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2758_output_1944-06-14,DOLICHA VNO VI2A10028A МОВИУЙОХ,EVERCY,204,495.0
1944-06-24 00:32:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2767_output_1944-06-24,,RIMEUX,102,491.0
1944-06-08 03:22:00,BOX_2_BOOK_6_INDUSTRIAL__PART_2_IMG_1479_output_1944-06-08,萬人 超営,CAEN,117,483.0
1944-11-16 10:30:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2976_output_1944-11-16,,WANNE EICKEL,242,482.0
1944-07-01 19:59:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2705_output_1944-07-01,TOWN AREA,FORET DE NIEPPE,163,456.0
1944-06-18 13:39:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2689_output_1944-06-18,,BREAUVOIR,111,450.0
1944-06-25 00:00:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2731_output_1944-06-25,,LIGESCOURT,101,450.0
1944-06-26 00:00:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2731_output_1944-06-26,,LIGESCOURT,101,450.0
1944-07-11 20:59:00,BOX_2_BOOK_6_INDUSTRIAL__PART_2_IMG_1655_output_1944-07-11,Unidentified,Wizernes,104,444.0
1944-06-01 00:00:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2709_output_1944-06-01,TOWN AREA,FORET DEANY,7,439.0
1944-07-30 23:44:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2705_output_1944-07-30,TOWN AREA,FORET DE NIEPPE,210,437.0
1944-06-24 01:41:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2677_output_1944-06-24,TOWN AREA,BAMIERS,104,436.0
1944-06-25 16:00:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2678_output_1944-06-25,,BEINTQUES,5,431.0
1944-06-16 01:50:00,BOX_2_BOOK_6_INDUSTRIAL__PART_2_IMG_1499_output_1944-06-16,Unidentified Target,Domleger,100,430.0
1944-08-06 13:00:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2706_output_1944-08-06,,"Foret de Nieppe, Hazebrouck",112,428.0
1944-06-06 00:48:00,BOX_2_BOOK_6_INDUSTRIAL__PART_2_IMG_1621_output_1944-06-06,,ST LO,110,427.0
1944-06-24 00:44:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2678_output_1944-06-24,,BEINTQUES,5,427.0
1944-06-27 03:30:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2694_output_1944-06-27,,Chateau Benapre,96,422.0
1944-07-20 15:50:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2692_output_1944-07-20,ABRA VESBECH,CHAPELL NOTRE DAME,67,421.0
1944-06-04 14:30:00,BOX_2_BOOK_6_INDUSTRIAL__PART_2_IMG_1499_output_1944-06-04,Unidentified Target,Domleger,293,410.0
1944-06-24 03:03:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2721_output_1944-06-24,TOWN AREA,LA GRAND . ROSSIGNOL,102,407.0
1944-06-23 01:51:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2732_output_1944-06-23,Town Area,Limoges,192,404.0
1944-07-12 01:45:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2704_output_1944-07-12,TOWN AREA,FERME DU FORESTEL,158,399.0
1944-06-27 12:00:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2737_output_1944-06-27,Town Area,Mont Candon,104,387.0
