target_location,target_name,BOOK,TOTAL_TONS,INCENDIARY_PERCENT,TARGET_SCORE,TONNAGE_SCORE,INCENDIARY_SCORE,AREA_BOMBING_SCORE,AREA_BOMBING_SCORE_NORMALIZED
LIMBURG,CITY AREA,BOOK_6_INDUSTRIAL__PART_3,25.0,0.0,1,6.226791601596391,0.0,5.9,6.1
LIMBURG,CITY AREA,BOOK_6_INDUSTRIAL__PART_3,2.0,0.0,1,2.6979003990976924,0.0,4.8,4.9
LIMBURG,CITY AREA,BOOK_6_INDUSTRIAL__PART_3,2.0,0.0,1,2.6979003990976924,0.0,4.8,4.9
LIMBURG,CITY AREA,BOOK_6_INDUSTRIAL__PART_3,15.0,0.0,1,5.71889640812077,0.0,5.7,5.9
LIMBURG,CITY AREA,BOOK_6_INDUSTRIAL__PART_3,18.0,0.0,1,5.8754121117473534,0.0,5.8,6.0
LIMBURG,CITY AREA,BOOK_6_INDUSTRIAL__PART_3,32.0,0.0,1,6.656255422522992,0.0,6.0,6.2
LIMBURG,CITY AREA,BOOK_6_INDUSTRIAL__PART_3,28.6,0.0,1,6.4273815720978655,0.0,5.9,6.1
LIND,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_1,2.0,0.0,1,2.6979003990976924,0.0,4.8,4.9
LINDEN,BARGES,BOOK_17_NAVAL,0.27,7.4074074074074066,0,0.18410550060732256,3.2677601017974074,1.0,1.0
LINGEN,AIRDROME,BOOK_10_AIRFIELDS__PART_2,0.72,16.666666666666664,0,0.6887038001041125,3.9131860254065463,1.4,1.4
LINGEN,AIRDROME,BOOK_10_AIRFIELDS__PART_2,0.6,0.0,0,0.5375672392850945,0.0,0.2,0.2
LINGEN,AIRDROME,BOOK_10_AIRFIELDS__PART_2,1.0,0.0,0,1.2540343571056742,0.0,0.4,0.4
LINGEN,AIRDROME,BOOK_10_AIRFIELDS__PART_2,2.32,31.03448275862069,0,3.204927988894673,4.91470901031728,2.4,2.5
LINGEN,BRIDGE,BOOK_11_TRANSPORTATION__PART_3,0.25,0.0,0,0.13118167621030713,0.0,0.0,0.0
LINGEN,BRIDGE,BOOK_11_TRANSPORTATION__PART_3,0.5,0.0,0,0.3597084851639771,0.0,0.1,0.1
LINGEN,LIPPSTADT AIRDROME,BOOK_10_AIRFIELDS__PART_2,64.6,0.0,0,7.77234079472497,0.0,2.3,2.4
LINGEN,LIPPSTADT AIRDROME,BOOK_10_AIRFIELDS__PART_2,269.05,22.690949637613826,0,9.479437792816242,4.333114692672035,4.1,4.2
LINGEN,LIPPSTADT AIRDROME,BOOK_10_AIRFIELDS__PART_2,1.0,0.0,0,1.2540343571056742,0.0,0.4,0.4
LINGEN,LIPPSTADT AIRDROME,BOOK_10_AIRFIELDS__PART_2,110.0,7.2727272727272725,0,8.702411938226618,3.2583720883630924,3.6,3.7
LINGEN,LIPPSTADT AIRDROME,BOOK_10_AIRFIELDS__PART_2,79.0,0.0,0,8.162762450112789,0.0,2.4,2.5
LINGEN,LIPPSTADT AIRDROME,BOOK_10_AIRFIELDS__PART_2,13.0,100.0,0,5.60975186534791,10.0,4.7,4.8
LINGEN,LIPPSTADT AIRDROME,BOOK_10_AIRFIELDS__PART_2,47.0,0.0,0,7.262016310949159,0.0,2.2,2.3
LINGEN,LIPPSTADT AIRDROME,BOOK_10_AIRFIELDS__PART_2,23.0,0.0,0,6.121464515009544,0.0,1.8,1.9
LINGEN,LIPPSTADT AIRDROME,BOOK_10_AIRFIELDS__PART_2,0.6,0.0,0,0.5375672392850945,0.0,0.2,0.2
LINGEN,LIPPSTADT AIRDROME,BOOK_10_AIRFIELDS__PART_2,82.0,0.0,0,8.23008849557522,0.0,2.5,2.6
LINGEN,LIPPSTADT AIRDROME,BOOK_10_AIRFIELDS__PART_2,3.0,0.0,0,3.692174214818671,0.0,1.1,1.1
LINGEN,LIPPSTADT AIRDROME,BOOK_10_AIRFIELDS__PART_2,0.6,0.0,0,0.5375672392850945,0.0,0.2,0.2
LINGEN,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_3,1.05,0.0,0,1.6638903348950198,0.0,0.5,0.5
LINGEN,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_3,0.495,24.242424242424242,0,0.3453062640985598,4.441261781086752,1.4,1.4
LINGEN,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_3,3.0,0.0,0,3.692174214818671,0.0,1.1,1.1
LINGEN,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_3,3.0,0.0,0,3.692174214818671,0.0,1.1,1.1
LINGEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_3,3.0,0.0,1,3.692174214818671,0.0,5.1,5.3
LINGEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_3,3.0,0.0,1,3.692174214818671,0.0,5.1,5.3
LINGEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_3,1.2,0.0,1,1.8181502689571405,0.0,4.5,4.6
LINGEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_3,3.0,0.0,1,3.692174214818671,0.0,5.1,5.3
LINGEN,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_3,10.0,0.0,1,5.347388512927295,0.0,5.6,5.8
LINTFORT,FRORCH HNRCH CK OVEN BAT,BOOK_6_INDUSTRIAL__PART_5,2.24,10.714285714285712,1,3.1360402568106887,3.4982693602292425,6.0,6.2
LINZ,BENZOL PLANT,BOOK_2_OILREFINERIES,183.7,0.0,0,9.192087454450807,0.0,2.8,2.9
LINZ,BENZOL PLANT,BOOK_2_OILREFINERIES,107.0,0.0,0,8.660940482387646,0.0,2.6,2.7
LINZ,BENZOL PLANT,BOOK_2_OILREFINERIES,30.0,0.0,0,6.531667534270346,0.0,2.0,2.1
LINZ,BENZOL PLANT,BOOK_2_OILREFINERIES,28.0,0.0,0,6.395800798195385,0.0,1.9,2.0
LINZ,BENZOL PLANT,BOOK_2_OILREFINERIES,32.65,0.0,0,6.685059864653827,0.0,2.0,2.1
LINZ,BENZOL PLANT,BOOK_2_OILREFINERIES,149.0,0.0,0,9.001735207357278,0.0,2.7,2.8
LINZ,BENZOL PLANT,BOOK_2_OILREFINERIES,13.0,0.0,0,5.60975186534791,0.0,1.7,1.8
LINZ,BENZOL PLANT,BOOK_2_OILREFINERIES,45.0,0.0,0,7.215339233038348,0.0,2.2,2.3
LINZ,BENZOL PLANT,BOOK_2_OILREFINERIES,118.0,0.0,0,8.783619642547285,0.0,2.6,2.7
LINZ,BENZOL PLANT,BOOK_2_OILREFINERIES,2.0,0.0,0,2.6979003990976924,0.0,0.8,0.8
LINZ,BENZOL PLANT,BOOK_2_OILREFINERIES,52.0,0.0,0,7.411070622939441,0.0,2.2,2.3
LINZ,BENZOL PLANT,BOOK_2_OILREFINERIES,106.4,0.0,0,8.652785007808433,0.0,2.6,2.7
LINZ,BENZOL PLANT,BOOK_2_OILREFINERIES,39.0,0.0,0,7.033663022731217,0.0,2.1,2.2
LINZ,BENZOL PLANT,BOOK_2_OILREFINERIES,64.0,0.0,0,7.759326739545376,0.0,2.3,2.4
LINZ,BENZOL PLANT,BOOK_2_OILREFINERIES,78.0,0.0,0,8.13760194343224,0.0,2.4,2.5
LINZ,BENZOL PLANT,BOOK_2_OILREFINERIES,156.0,0.0,0,9.050147492625369,0.0,2.7,2.8
LINZ,H GOERING BENZOL PLANT,BOOK_2_OILREFINERIES,101.25,0.0,0,8.568453930244663,0.0,2.6,2.7
LINZ,H GOERING BENZOL PLANT,BOOK_2_OILREFINERIES,60.0,0.0,0,7.646191219850772,0.0,2.3,2.4
LINZ,H GOERING STEEL WORKS,BOOK_1_MILITARYINDUSTRY,82.0,0.0,0,8.23008849557522,0.0,2.5,2.6
LINZ,H GOERING STEEL WORKS,BOOK_1_MILITARYINDUSTRY,82.5,0.0,0,8.238764532361618,0.0,2.5,2.6
LINZ,H GOERING STEEL WORKS,BOOK_1_MILITARYINDUSTRY,166.5,0.0,0,9.10584764879403,0.0,2.7,2.8
LINZ,H GOERING TANK BOOKS,BOOK_1_MILITARYINDUSTRY,1307.5,0.0,0,9.975880617733818,0.0,3.0,3.1
LINZ,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,173.8,0.0,0,9.143501648446989,0.0,2.7,2.8
LINZ,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,112.0,0.0,0,8.72896061079299,0.0,2.6,2.7
LINZ,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,126.0,0.0,0,8.847648794030887,0.0,2.7,2.8
LINZ,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,510.5,0.0,0,9.782752038868646,0.0,2.9,3.0
LINZ,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,58.0,0.0,0,7.5849384001388165,0.0,2.3,2.4
LINZ,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,18.0,0.0,0,5.8754121117473534,0.0,1.8,1.9
LINZ,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,18.0,0.0,0,5.8754121117473534,0.0,1.8,1.9
LINZ,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,49.0,0.0,0,7.306611140031234,0.0,2.2,2.3
LINZ,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,478.5,0.20898641588296762,0,9.759500260281103,0.17580943419955566,3.0,3.1
LINZ,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,40.0,0.0,0,7.079125455491932,0.0,2.1,2.2
LINZ,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,65.0,0.0,0,7.784487246225924,0.0,2.3,2.4
LINZ,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,86.0,0.0,0,8.312163803574528,0.0,2.5,2.6
LINZ,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,41.456,46.93168660748745,0,7.1254554919312865,6.13675817648979,4.0,4.1
LINZ,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,177.0,0.0,0,9.163456533055701,0.0,2.7,2.8
LINZ,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,447.1,0.0,0,9.730001735207358,0.0,2.9,3.0
LINZ,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,69.0,0.0,0,7.8936317889987855,0.0,2.4,2.5
LINZ,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,207.0,0.0,0,9.291514836022905,0.0,2.8,2.9
LINZ,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,223.8,0.0,0,9.352941176470589,0.0,2.8,2.9
LINZ,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,238.0,0.0,0,9.396668401874024,0.0,2.8,2.9
LINZ,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,14.0,0.0,0,5.659378795766095,0.0,1.7,1.8
LINZ,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,363.0,0.0,0,9.631788998785355,0.0,2.9,3.0
LINZ,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,372.0,0.0,0,9.640117994100294,0.0,2.9,3.0
LINZ,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,212.5,0.0,0,9.31268436578171,0.0,2.8,2.9
LINZ,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,60.0,0.0,0,7.646191219850772,0.0,2.3,2.4
LINZ,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,23.75,0.0,0,6.15009543640465,0.0,1.8,1.9
LINZ,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,24.0,0.0,0,6.1726531320492795,0.0,1.9,2.0
LINZ,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,140.5,0.0,0,8.94742321707444,0.0,2.7,2.8
LINZ,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,78.0,0.0,0,8.13760194343224,0.0,2.4,2.5
LINZ,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,78.0,0.0,0,8.13760194343224,0.0,2.4,2.5
LINZ,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,17.0,0.0,0,5.821447162935971,0.0,1.7,1.8
LINZ,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,10.25,0.0,0,5.399444733645671,0.0,1.6,1.6
